"Del Mundo, M.",Social Forces
"Del Mundo, M.",Population Studies
"Dorjee, T.",Journal of Biosocial Science
"Dorji, T.",Journal of the Royal Statistical Society
"Fonacier, M.",Journal of Sex Research
"Fonacier, M.",JournaI of Marriage and Family
"Fonacier, M.",Philippine Population Review
"Fonacier, M.",Journal of Marriage and the Family
"Gocatek, C.",American Journal of Sociology
"Gocatek, C.",Sociological Forum
"Gocatek, C.",International Migration Review
"Landicho, N.",Perspectives on Sexual and Reproductive Health
"Lavares, A.",Social Weather Bulletin
"Lavares, A.",Journal of Aging and Health
"Lavares, A.",Journal of Religion and Health
"Lavares, A.",The Journal of Gerontology
"Lavares, A.",Journal of Health and Social Behavior
"Lotivio, Z.",The Future of Children
"Mallari, R.",Aging and Mental Health
"Mallari, R.",Philippine Social Sciences Review
"Mallari, R.",Journals of Gerontology
"Mallari, R.",Japanese Journal of Hygiene
"Mallari, R.",Journal of Gerontology: Psychological Sciences
"Mallari, R.",Journal of Personality and Social Psychology
"Namgay, P.",Population and Development Review
"Namgay, P.",Journal of Population Economics
"Namgay, P.",Studies in Family Planning
"Parcon, C.",Journal of Marriage and Family
"Prudencio, M.",Asian Migrant
"Prudencio, M.",Asia and Pacific Migration Journal
"Reyes, D.",Monthly Labor Review
"Reyes, D.",Population Studies
"Rodriguez, M.",Demography
"Rodriguez, M.",Clinical Infectious Diseases
"Rodriguez, M.",Journal of Tropical Pediatrics
"Sasota, R.",Population and Development Review
"Wangdi, L.",Journal of AIDS and HIV Research
"Wangdi, L.",Social Science & Medicine
"Wangmo, Y.",Population and Development Review
"Yubia, M.",Population Studies
