cited by,journals
"Alcantara, A.",Population Studies
"Alcantara, A.",Population and Development Review
"Alcantara, A.",Demography
"Alcantara, A.",Population Studies
"Alcantara, A.",European Journal of Public Health
"Alcantara, A.",Population and Development Review
"Alcantara, A.",Philippine Quarterly of Culture and Society
"Alcantara, A.",Journal of Development Studies
"Alcantara, A.",Bulletin of the World Health Organization
"Alcantara, A.",Population and Development Review
"Alcantara, A.",Population Index
"Alcantara, A.",Population and Development Review
"Alcantara, A.",Demography
"Alcantara, A.",Population and Development Review
"Alcantara, A.",Population Studies
"Alcantara, A.",J Biosoc. Sct.
"Alcantara, A.",Social Biology
"Alcantara, A.",Population Studies
"Alcantara, A.",Population and Development Review
"Alcantara, A.",Population and Development Review
"Alcantara, A.",Eastern Africa Social Science Research Review
"Alcantara, A.",Demography
"Alcantara, A.",Population Studies
"Alcantara, A.",Demography
"Alcantara, A.",Demography
"Alcantara, A.",Population and Development Review
"Alcantara, A.",Population and Development Review
"Alcantara, A.",Population and Development Review
"Alcantara, A.",Population Studies
"Alcantara, A.",Undergraduate Economic Review
"Ogena, A.",Philippine Population Review
"Ogena, A.",Health Transition Review
"Ogena, A.",The Review of Economics and Statistics
"Ogena, A.",Journal of Human Resources
"Ogena, A.",The Economic Journal
"Ogena, A.",Demography
"Ogena, A.",Population and Development Review
"Ogena, A.",Population Studies
"Ogena, A.",Family Planning Perspectives
"Ogena, A.",Social Weather Bulletin
"Ogena, A.",Journal of Marriage & Family
"Ogena, A.",American Journal of Public Health
"Ogena, A.",Journal of Marriage and Family
"Ogena, A.",Demographic Research
"Ogena, A.",Journal of Population Economics
"Ogena, A.",Journal of Marriage and the Family
"Ogena, A.",Family Planning Perspectives
"Ogena, A.",Journal of Marriage and the Family
"Ogena, A.",Journal of Policy Analysis and Management
"Ogena, A.",Journal of Political Economy
"Ogena, A.",Developmental Psychology
"Ogena, A.",Family Planning Perspectives
"Ogena, A.",American Sociological Review
"Ogena, A.",Family Planning Perspectives
"Ogena, A.",Demography
"Ogena, A.",Journal of Human Resources
"Ogena, A.",Demography
"Ogena, A.",Child Development
"Ogena, A.",Family Planning Perspectives
"Ogena, A.",Demographic Research
"Ogena, A.",Social Problems
"Ogena, A.",Perspectives on Sexual and Reproductive Health
"Ogena, A.","Journal of Marriage and the Family,"
"Ogena, A.",American Sociological Review
"Ogena, A.",Philippine Population Journal
"Ogena, A.",Family Planning Perspectives
"Arabit, C.",International Journal of the Addictions
"Arabit, C.",Am J Prev Med
"Arabit, C.",Journal of Early Adolescence
"Arabit, C.",Journal of Studies on Alcohol
"Arabit, C.",Journal of Marrioge and the Family
"Arabit, C.",Child Development
"Arabit, C.",J Early Adolesc
"Arabit, C.",Alcohol Health and Research World
"Arabit, C.",Addict Behav.
"Arabit, C.",J Abnorm Psychol
"Arabit, C.", Philippine Quarterly of Culture and Society
"Arabit, C.",J Drug Educ
"Arabit, C.",Pediatrics
"Arabit, C.",Pediatrics
"Arabit, C.",J Stud Alcohol Drugs
"Arabit, C.", Health Educ Res
"Arabit, C.",Current Opinion in Pediatrics
"Arabit, C.",Nursing Research and Practice
"Arabit, C.",Arch Pediatr Adolesc Med
"Arabit, C.",Journal of Adolescent Health
"Arabit, C.",Journal of Applied Social Psychology
"Arabit, C.",Journal of Applied Social Psychology
"Arabit, C.",Arch Pediatr Adolesc Med
"Arabit, C.",Journal of Adolescence
"Arabit, C.",Addiction
"Arabit, C.",Pediatrics
"Arabit, C.",Psychological Bulletin
"Arabit, C.",American Journal of Drug and Alcohol Abuse
"Arabit, C.",Annals of Behavioral Medicine
"Arabit, C.",Intl J Environ Res Public Health
"Arabit, C.",Journal of Adolescent Health
"Arabit, C.",International Journal of the Addictions
"Arabit, C.",Journal of Research on Adolescence
"Arabit, C.",Journal of Public Health
"Arabit, C.",Journal of Community Psychology
"Arabit, C.", Addiction
"Arabit, C.",Journal of Alcohol and Drug Education
"Arabit, C.",BMC Public Health
"Arabit, C.",Oxford Journals Medicine & Health Nicotine & Tobacco Research
"Arabit, C.",Journal of Alcohol and Drug Education
"Arabit, C.",J Psychopathol Behav Assess.
"Arabit, C.",Social Defence
"Arabit, C.",British Journal of Addiction
"Arabit, C.",Addict Behav.
"Arabit, C.",Journal of Drug Issues
"Arabit, C.",Drug & Alcohol Dependence
"Arabit, C.",Soc Sci Med
"Arabit, C.",Developmental Review
"Arabit, C.",Philippine Journal of Psychology
"Arabit, C.",Philippine Sociological Review
"Arabit, C.",The Journal of School Health
"Arabit, C.",Tobacco Control
"Arabit, C.",Addiction 
"Arabit, C.",Drug and Alcohol Review
"Arabit, C.",Adolescence
"Arabit, C.",Nihon Arukoru Yokubutsu Igokkoi Zasshi
"Arellano, M.",Journal of Biosocial Science
"Arellano, M.",Journal of Social Science and Medicine
"Arellano, M.",Journal of Epidemiology and Community Health
"Arellano, M.",Cuadernos de Saude Publica
"Arellano, M.",Archives of Gynecology and Obstetrics
"Arellano, M.",Demography
"Arellano, M.",Reprowatch Edition
"Arellano, M.",Philippine Population Review
"Arellano, M.",Economic Development and Cultural Change
"Arellano, M.",Tropical Doctor
"Arellano, M.",Journal of Midwifery and Women's Health
"Arellano, M.",Studies in Family Planning
"Arellano, M.",Asia-Pacific Journal
"Arellano, M.",Journal of Family Welfare
"Arellano, M.",Philippine Population Review
"Arellano, M.",Demography
"Arellano, M.",Journal of Adolescent Health
"Arellano, M.",Journal of the Chinese Medical Association
"Arellano, M.",Asia Pacific Population Journal
"Arellano, M.",Journal of Marriage and Family
"Arellano, M.",Journal of Marriage and Family
"Arellano, M.",Perspectives on Sexual and Reproductive Health
"Arellano, M.",Social Forces
"Arellano, M.",International Family Planning Perspective
"Arellano, M.",Journal of Marriage and Family.
"Arellano, M.",Social Forces
"Bhattarai, B.",Disability India Journal
"Bhattarai, B.",American Journal of Public Health
"Bhattarai, B.",Annals of Internal Medicine
"Bhattarai, B.",American Journal of Public Health
"Bhattarai, B.",American Journal of Epidemiology
"Bhattarai, B.",The Gerontologist
"Bhattarai, B.",Journal of Further and Higher Education
"Bhattarai, B.",Health and Society
"Bhattarai, B.",Journal of Social Issues
"Bhattarai, B.",International Labour Review
"Bhattarai, B.",Social Science and Medicine
"Borja, L.",International Family Planning Perspectives
"Borja, L.",Studies in Family Planning
"Borja, L.",International Family Planning Perspectives
"Borja, L.",Studies in Family Planning
"Borja, L.",Population and Development Review
"Borja, L.",Studies in Family Planning
"Borja, L.",Research Division Working Papers
"Borja, L.",Population and Development Review
"Borja, L.",International Family Planning Perspectives
"Borja, L.",Studies Family Planning
"Borja, L.",Studies in Family Planning
"Borja, L.",Studies in Family Planning
"Borja, L.",American Psychologist
"Borja, L.",Studies in Family Planning
"Borja, L.",International Family Planning Perspectives
"Borja, L.",Studies in Family Planning
"Borja, L.",Australian and New Zealand Journal of Obstetrics and Gynecology
"Borja, L.",Lancet
"Borja, L.",Ethiopian Journal of Health Development
"Borja, L.",Population Reports
"Borja, L.",Social Science & Medicine
"Borja, L.",Demography
"Borja, L.",International Family Planning Perspectives
"Borja, L.",International Family Planning Perspectives
"Borja, L.",International Family Planning Perspectives
"Borja, L.",International Family Planning Perspectives
"Borja, L.",International Family Planning Perspectives
"Borja, L.",International Family Planning Perspectives
"Borja, L.",Economic and Political Review
"Borja, L.",Studies in Family Planning
"Borja, L.",Studies in Family Planning
"Borja, L.",Studies in Family Planning
"Borja, L.",Studies in Family Planning
"Borja, L.",American Psychologist
"Borja, L.",International Family Planning Perspectives
"Borja, L.",Family Planning Perspectives
"Borja, L.",International Family Planning Perspectives.
"Borja, L.",Population and Development Review
"Borja, L.",International Family Planning Perspectives
"Borja, L.",International Family Planning Perspectives
"Borja, L.",Studies in Family Planning
"Castillo, P.",South-East Asian Spectrum
"Castillo, P.", American Journal of Obsletric Gynecology
"Castillo, P.",Ejective Health Care Bulletin
"Castillo, P.",Demographic Research
"Castillo, P.",Social Psychology Quarterly
"Castillo, P.",Child Development
"Castillo, P.",Child Development
"Castillo, P.",Journal of Marriage and Family
"Castillo, P.",Social Service Review
"Castillo, P.",International Journal of Sociology of the Family
"Castillo, P.",Br. J of Obstet Gynecol.
"Castillo, P.","Culture, Health & Sexuality"
"Castillo, P.",International Journal of Epidemiology
"Castillo, P.",Demographic Research
"Castillo, P.",Journal of the ASEAN Federation of Endocrine Societies
"Castillo, P.",ACTA Obstet Gynecol Scand
"Castillo, P.",Sociological Focus
"Castillo, P.",International Journal of Epidemiology
"Castillo, P.",Population Bulletin
"Castillo, P.",International Journal of Epidemiology
"Castillo, P.",International Journal of Epidemiology
"Cruz, C.",Policy and Research Paper
"Cruz, C.",Population and Development Review
"Cruz, C.",Population Development Review
"Cruz, C.",Population and Development Review
"Cruz, C.",Population Studies
"Cruz, C.",Economic Development and Cultural Change
"Cruz, C.",The Journal of Family Welfare
"Cruz, C.",Studies in Family Planning
"Cruz, C.",Population Studies
"Cruz, C.",Population and Development Review
"Cruz, C.",International Family Planning Perspectives
"Cruz, C.",Philippine Population Review
"Cruz, C.",Studies in Family Planning
"Cruz, C.",Studies in Family Planning
"Cruz, C.","Journal of Health, Population and Nutrition"
"Cruz, C.",Demography
"Cruz, C.",Population and Development Review
"Cruz, C.",Asia-Pacific Population Journal
"Cruz, C.",Studies in Family Planning
"Cruz, C.",Studies in Family Planning
"Cruz, C.",International Family Planning Perspectives
"Choda, J.",The Journal of Developing Areas
"Choda, J.", Asian Population Studies Series
"Choda, J.", Intersections
"Choda, J.",Asia Pacific Population Journal
"Choda, J.",Asia Pacific Journal.
"Choda, J.",Journal of Development Studies
"Choda, J.",EPW
"Choda, J.",Demography
"Choda, J.",Manchester School of Economic and Social Studies
"Choda, J.",World Development
"Choda, J.",American Journal of Agriculture Economics
"Choda, J.",American Economic Review
"Choda, J.",Journal of the Royal Statistical Society
"Choda, J.",Journal of Developmental Studies
"Choda, J.",Economic Journal
"Choda, J.",Demography India
"Choda, J.",Internal Migration of Women in Developing Countries
"Choda, J.",Journal of Political Economy
"Choda, J.","Population, Space and Place"
"Choda, J.",Labour and Development
"Choda, J.",Economic Review
"Choda, J.",American Economic Review
"Choda, J.",Journal of Human Resources
"Choda, J.",American Economic Review
"Cruz, G.",Journal of Aging and Health
"Cruz, G.",Journal of Gerontology
"Cruz, G.",Gerontology
"Cruz, G.","Gender, Racial, and Socioeconomic Differences, Science and Medicine,"
"Cruz, G.",Journal of Gerontology
"Cruz, G.",Journal of Gerontology
"Cruz, G.",Demography
"Cruz, G.",Journal of Aging and Health
"Cruz, G.",Social Science and Medicine
"Cruz, G.",American Journal of Public Health
"Cruz, G.",England Journal of Medicine
"Cruz, G.",The Gerontologist
"Cruz, G.",Health and Society
"Cruz, G.",Journal of Human Resources
"Cruz, G.",Demography
"Cruz, G.",Population and Development Review
"Cruz, G.",Health and Society
"Cruz, G.",Demography
"Cruz, G.",American Sociological Review
"Cruz, G.",Bulletin of the Word Health Organization
"Cruz, G.",Milbank Memorial Fund Quarterly
"Cruz, G.",Asia-Pacific Population Journal
"Cruz, G.",Demography
"Cruz, G.",Journey of and Social Behavior
"Cruz, G.",American Journal of Sociology
"Cruz, G.",The Milbank Quarterly
"Cruz, G.",Journal of Health and Social Behavior
"Cruz, G.",Journal of Health and Social Behavior
"Cruz, G.",Journal of Marriage and Family
"Cruz, G.",Journal of the American Medical Association
"Cruz, G.",Acta Psychiatrica Scandanavia
"Cruz, G.",Journal of Clinical Epidemiology
"Cruz, G.",Demography
"Cruz, G.",Journal of Aging and Health
"Cruz, G.",The Gerontologist
"Cruz, G.",Mathematical Population Studies
"Cruz, G.",Journal of Gerontology: Social Sciences
"Cruz, G.",Journal of Aging and Health
"Cruz, G.",Science
"Cruz, G.",The Milbank Quarterly
"Cruz, G.",Milbank Memorial Fund Quarterly
"Cruz, G.",Journal of Aging and Health
"Cruz, G.",British Medical Journal
"Cruz, G.",Journal of Aging and Health
"Cruz, G.",The Gerontologist
"Cruz, G.",Milbank Memorial Fund Quarterly
"Cruz, G.",Journal of Health and Social Behavior
"Cruz, G.",Demography
"Cruz, G.",Demography
"Cruz, G.",Social Science and Medicine
"Cruz, G.",Demography
"Cruz, G.",Journal of Health and Social Behavior
"Cruz, G.",Journal of Gerontology: Social Sciences
"Cruz, G.",Journal of Marriage and the Family
"Cruz, G.",Social Science and Medicine
"Cruz, G.",Journal of Health and Social Behavior
"Cruz, G.",Milbank Memorial Fund Quarterly/Health Soc
"Cruz, G.",Milbank Memorial Fund Quarterly
"Cruz, G.",Journal of Gerontology: Social Sciences
"Cruz, G.",Canadian Journal of Aging
"Cruz, G.",Research on Aging
"Cruz, G.",Journal of Health and Social Behavior
"Cruz, G.",Demography
"Del Mundo, M.",The British Journal of Psychiatry
"Del Mundo, M.",BMC Public Health
"Del Mundo, M.",Asian Population Studies
"Del Mundo, M.",Sojourn: Journal of Social Issues in Southeast Asia
"Del Mundo, M.",Asian Migrant
"Del Mundo, M.",World Development
"Del Mundo, M.",Consilience: The Journal of Sustainable Development
"Del Mundo, M.",Population and Development Review
"Del Mundo, M.",Demography
"Del Mundo, M.",Demographic Research
"Del Mundo, M.",Sojourn
"Del Mundo, M.",Economic Development and Cultural Change
"Del Mundo, M.",Population Index
"Del Mundo, M.",Studies in Family Planning
"Del Mundo, M.",Chicago: University of Chicago Press.
"Del Mundo, M.",Population Environment
"Del Mundo, M.",The Milbank Memorial Fund Quarterly
"Del Mundo, M.",Asian Pac Cens Forum
"Del Mundo, M.",The Journal of Peasant Studies
"Del Mundo, M.",European Journal of Population
"Del Mundo, M.",World Applied Sciences Journal
"Del Mundo, M.",Chinese J. Population Sci
"Del Mundo, M.",Social Forces
"Del Mundo, M.",Demographic Research
"Del Mundo, M.",Demography
"Del Mundo, M.",International Family Planning Perspectives
"Del Mundo, M.",Demography
"Del Mundo, M.",Studies in Family Planning
"Del Mundo, M.",Demography
"Del Mundo, M.","Population, Space and Place"
"Del Mundo, M.",Population Studies
"Del Mundo, M.",Stud Fam Plann.
"Del Mundo, M.",Social Forces
"Del Mundo, M.",Rural Sociology
"Del Mundo, M.",Population Studies
"Del Mundo, M.","The Journal of Health, Population and Nutrition"
"Del Mundo, M.",Sex Transm Infect
"Del Mundo, M.",Asian and Pacific Migration Journal
"Dorjee, T.",Journal of Biosocial Science
"Dorjee, T.",The Pakistan Development Review
"Dorjee, T.",Health Transition Review
"Dorjee, T.",Social Science and Medicine
"Dorjee, T.",Longitudinal Analysis of Sociology and Social Research
"Dorjee, T.",Population Studies
"Dorjee, T.",Studies in Family Planning
"Dorjee, T.",Journal of Biosocial Science
"Dorjee, T.",Population Bulletin
"Dorjee, T.",Population Studies
"Dorjee, T.",Population Studies
"Dorjee, T.",Health Transition Review
"Dorjee, T.",Population Studies
"Dorjee, T.",Demography
"Dorjee, T.",Asia-Pacific Population Journal
"Dorjee, T.",Population Studies
"Dorjee, T.",Population and Development Review
"Dorjee, T.",Journal of Philipine Development
"Dorjee, T.",Population and Development Review
"Dorjee, T.",Population Studies
"Dorjee, T.",Population and Development Review
"Dorjee, T.",Demography
"Dorjee, T.",Population Development Review
"Dorjee, T.",World Health Health Statistics
"Dorjee, T.",Population Studies
"Dorjee, T.",American Journal of Epidemiology
"Dorjee, T.",Biosoc. Sci.
"Dorjee, T.",Journal of Bio Social Science
"Dorjee, T.",Population and Development Review
"Dorjee, T.",Bulletin of the World Health Organization
"Dorjee, T.",Journal of Humanities & Social Sciences
"Dorjee, T.",Health Transition Review
"Dorjee, T.",Population Studies
"Dorjee, T.",Population Studies
"Dorjee, T.",Bulletin of the World Health Organization
"Dorjee, T.",Population and Development Review
"Dorjee, T.",Population Studies
"Dorjee, T.",American Journal of Public Health
"Dorjee, T.",Journal of African Economics
"Dorjee, T.",Social Biology
"Dorjee, T.",Journal of Biosocial Sciences
"Dorjee, T.",Genus
"Dorjee, T.",Population Studies
"Dorjee, T.",Population and Development Review
"Dorjee, T.",Journal of Applied Business Research
"Dorjee, T.",Demography
"Dorjee, T.",Demography
"Dorjee, T.",Demography
"Dorjee, T.",Food Policy
"Dorjee, T.",Ecology of Food and Nutrition
"Dorjee, T.",Demography
"Dorjee, T.",Bulletin of the World Health Organization
"Dorjee, T.",Demography India
"Dorjee, T.",Demography
"Dorjee, T.",Population development Review
"Dorjee, T.","Population Reports,"
"Dorjee, T.",Journal of Tropical Pediatrics
"Dorjee, T.",Journal of Bio-Social Science
"Dorjee, T.",Population Bulletin of the United Nations
"Dorjee, T.",Population and Development Review
"Dorjee, T.",Family Plann.
"Dorjee, T.",Population Studies
"Dorjee, T.",Social Theory and Methods
"Dorji, T.",Journal of Population Economics
"Dorji, T.",Journal of the Royal Statistical Society
"Dorji, T.",Journal of American Statistical Association
"Dorji, T.",Journal of the Royal Statistical Society
"Dorji, T.",Journal of Human Resources
"Fonacier, M.",Organizational Behavior and Human Decision Processes
"Fonacier, M.",Economy and Society
"Fonacier, M.",Demographic Research
"Fonacier, M.",AIDS Care
"Fonacier, M.",Demography
"Fonacier, M.",Philippine Population Reverb
"Fonacier, M.", Economic Development and Cultural Change
"Fonacier, M.",Journal of Inferdisciplinary Studies
"Fonacier, M.","International Family Planning Perspectives,"
"Fonacier, M.",Public Health Reports
"Fonacier, M.",The Journal of Sex Research
"Fonacier, M.",Archives of Sexual Behavior
"Fonacier, M.",Public Opinion Quarterly
"Fonacier, M.",Journal of Sex Research
"Fonacier, M.",International Perspectives on Sexual and Reproductive Health
"Fonacier, M.",Journal of Personality and Social Psychology
"Fonacier, M.",Journal of Personality Assessment
"Fonacier, M.",International Family Planning Perspectives
"Fonacier, M.",Journal of Sex Research
"Fonacier, M.",Journal of Personality
"Fonacier, M.",Journal of Marriage and Family
"Fonacier, M.",JournaI of Marriage and Family
"Fonacier, M.",Soc Sci Med
"Fonacier, M.",BMC Public Health
"Fonacier, M.",Review of Women's Studies
"Fonacier, M.",Philippine Population Review
"Fonacier, M.",JournaI of Marriage and Family
"Fonacier, M.",Journal of School of Health
"Fonacier, M.",Adolescence
"Fonacier, M.",Journal of Sociology
"Fonacier, M.",Jurnal Promosi Kesehatan Indonesia
"Fonacier, M.",Journal of Marriage and the Family 
"Fonacier, M.",British Journal of Social and Clinical Psychology
"Fonacier, M.",Journal of Marriage and the Family
"Fonacier, M.",Philippine Population Review
"Galay, C. Jr.","Australian Journal of Sex, Marriage, and Family"
"Galay, C. Jr.",The Journal of Sex Research Academic Research Library
"Galay, C. Jr.",Journal of Adolescence
"Galay, C. Jr.",Philippine Population Review
"Galay, C. Jr.",New Directions for Child and Adolescent Development
"Galay, C. Jr.",Journal of Marriage and Family
"Galay, C. Jr.",Journal of Marriage and the Family
"Galay, C. Jr.",Adolescence
"Galay, C. Jr.",Journal of Early Adolescence
"Galay, C. Jr.",Philippine Population Review 
"Galay, C. Jr.",Philippine Population Review
"Galay, C. Jr.",Journal of Adolescent Research
"Gocatek, C.",Review of International Political Economy
"Gocatek, C.",Humboldt Journal of Social Relations
"Gocatek, C.",The Pakistan Development Review
"Gocatek, C.",Asian Migrant
"Gocatek, C.",Philippine Sociological Review
"Gocatek, C.",Philippine Labor Review
"Gocatek, C.",The Sociological Quarterly
"Gocatek, C.",Malaya
"Gocatek, C.",The Future of Children
"Gocatek, C.",Asian Migrant
"Gocatek, C.",Rural Sociology 
"Gocatek, C.",Philippine Social Science Review
"Gocatek, C.",Asia and Pacific Migration Journal
"Gocatek, C.",American Journal of Sociology
"Gocatek, C.",Solidarity
"Gocatek, C.",Social Science Research
"Gocatek, C.",Philippine Labor Review
"Gocatek, C.",Area
"Gocatek, C.",Asian Migrant
"Gocatek, C.",Social Forces
"Gocatek, C.",lnternational Institute Labour Review
"Gocatek, C.",Sociological Forum
"Gocatek, C.",Sociological Focus
"Gocatek, C.",Asian Migrant
"Gocatek, C.",Population Studies
"Gocatek, C.",Demography
"Gocatek, C.",American Journal of Sociology
"Gocatek, C.",Philippine Labor Review
"Gocatek, C.",Philippine Labor Review
"Gocatek, C.",Population Index
"Gocatek, C.",Population and Development Review
"Gocatek, C.",Health Alert Asia Pacific Edition
"Gocatek, C.",Work and Occupations
"Gocatek, C.",Philippine Population Review
"Gocatek, C.",Asian and Pacific Migration Journal
"Gocatek, C.",Solidarity
"Gocatek, C.",Asian Migrant
"Gocatek, C.",Philippine Social Science Review
"Gocatek, C.",International Migration Review
"Gocatek, C.",International Migration Review
"Gocatek, C.",BC Studies
"Gocatek, C.",Antipode
"Gocatek, C.",Solidarity
"Gocatek, C.",Journal of the Statistical Society of London
"Gocatek, C.",Philippine Sociological Review
"Gocatek, C.",American Sociological Review
"Gocatek, C.",Philippine Journal of Industrial Relations
"Gocatek, C.",Philippine Sociological Review
"Gocatek, C.",Progress in Human Geography
"Gocatek, C.",Journal of Political Economy
"Gocatek, C.",Journal of Marriage and Family
"Gocatek, C.",Philippine Labor Review
"Gocatek, C.",Philippine Social Science Review
"Gocatek, C.",Diliman Review
"Gocatek, C.",Asia-Pacific Viewpoint
"Gocatek, C.",Gender and Society
"Gocatek, C.",Sociological Forum
"Gocatek, C.",The Geographical Review
"Gocatek, C.",Pilipinas
"Grande, M.",Sudanese Journal of Public Health
"Grande, M.",Journal of Philippine Development
"Grande, M.",Population Studies
"Grande, M.",Pacific Health Dialog
"Grande, M.",Population Index
"Guzman, M.",Applied GIS
"Guzman, M.",Maternal Child Health Journal
"Guzman, M.",International Union for the Scientific Study on Population
"Guzman, M.",Demography
"Guzman, M.",Reproductive Health Journal
"Guzman, M.",Philippine Journal of Development
"Guzman, M.",International Journal for Health Geographics
"Guzman, M.",Population and Environment
"Guzman, M.",Public Health Reports
"Guzman, M.",Scientific American
"Landicho, N.",Safe Motherhood
"Landicho, N.",Tropical Medicine and International Health
"Landicho, N.",Safe Motherhood Journal
"Landicho, N.",Journal of Health and Population in Developing Countries
"Landicho, N.",Journal of Sex and Marital Therapy
"Landicho, N.",People
"Landicho, N.",Family Planning Perspectives
