Author	Year	Title	Publication Type
Branham, D.	2004	The wise man builds his house upon the rock: The effects of inadequate school building infrastructure on student attendance	Journal Article
Broman, S., Nichols, P., & Kennedy, W.	1975	Preschool IQ: Prenatal and early development correlates	Monograph
Bronfenbrenner, U.	1979	The ecology of human development: Experiments by nature and design	Monograph
Cadriel, D.	2004	Factors associated with successful high school completion among high-poverty minority populations in South Texas public schools	Dissertation
Case, A., Paxson, C., & Ableidinger, J.	2002	Orphans and schooling in Africa	Research
Cherlin, A., & Furstenberg, F. Jr.	1994	Stepfamilies in the United States: A reconsideration	Journal Article
Coleman, J.	1988	Social capital in the creation of human capital	Journal Article
Coleman, J.	1990	Foundations of social theory	Monograph
Conley, D.	1999	Being black, living in the red, wealth and social policy in America	Monograph
X	2001	Capital for college: Parental assets and postsecondary schooling	Journal Article
Cox D., & Rank, M.	1992	Inter-vivos transfers and intergenerational exchange	Journal Article
D'Amico, R., Haurin, R., & Mott, F.	1983	The effect of mother's employment on adolescent and early adult outcomes of young men and women	Monograph
Dandes, H., & Dow, D.	1969	The relationship of intelligence to family size and density	Journal Article
Daniels, D.	2004	Psycho-social predictors of academic success for urban African-American adolescents	Dissertation	
Daniels, M., & Adair, L.	2004	Growth in young Filipino children predicts schooling trajectories	Manuscript	
De Graaf, P., & Huinink, J.	1992	Trends in measured and unmeasured effects of family background on educational attainment and occupational status in the Federal Republic of Germany	Research	
De Graff, D., Bilsborrow, R., & Herrin, A.	1993	Children's education in the Philippines: Does high fertility matter?	X
Dekkers, H., & Driessen, G.	1997	An evaluation of the educational priority policy in relation To early school leaving	Journal Article
Demie, F.	2002	Pupil mobility and educational achievement in schools: An empirical analysis	Research	
Department of Education	X	X	Online
Di Maggio, P.	1982	Cultural capital and school success: The impact of status culture participation on the grades of U.S. high school students	Journal Article
Douglas, J.	1964	The home and the school: A study of ability and attainment in the primary school	Monograph
Downey, D.	1995	When bigger is not better: Family size, parental resources, and children's educational performance	Journal Article
X	2001	Number of siblings and intellectual development: The resource dilution explanation	Journal Article
Downey, D., & S. Neubauer, S.	1998	Is resource dilution inevitable? The association between number of siblings and educational outcomes across subgroups	X
Downey, D., B. Powell, Steelman, C., & Pribesh, S.	1999	Much ado about siblings: Change models, sibship size, and intellectual development	Journal Article
Dumont, A.	1890	Civilization et Depopulation	Monograph
Duncan, O., Featherman, D., & Duncan, B.	1972	Socioeconomic background and achievement	Monograph
Eckstein, Z., & K. Wolpin, K.	1999	Why youth drop out of high school: The impact of preferences, opportunities, and abilities	Journal Article
Ekstrom, R., Goertz, M., Pollack, J., & Rock, D.	1987	Who drops out of high school and why? Findings from a national study	Monograph
Elliott, D., & Voss, H.	1974	Delinquency and dropout	Monograph
Ensminger, M., & Slusarcick, A.	1992	Paths to high school graduation or dropout: A longitudinal study of a first-grade cohort	Journal Article
Ernst, C., & Angst, J.	1983	Birth order its influence and personality	Monograph
Eysenck, H., & Cookson, D.	1970	Personality in primary school children: III	Journal Article
Featherman, D.,& Hauser, R.	1976	Sexual inequalities and socioeconomic achievement in the U.S., 1962-1973	Journal Article
Fitzpatrick, K., & Yoels W.	1992	Policy, school structure, and sociodemographic effects on statewide high school dropout rates	Journal Article
Flores-Gonzalez, N.	2002	School kids, street kids: Identity and development in Latino students	Monograph
Frase, M.	1989	Dropout rates in the United States: 1988	Monograph
Furstenberg, F. Jr.	1976	Divorce and the American family	Journal Article
Galbraith, R.	1982	Sibling spacing and intellectual development: A closer look at the confluence model	Journal Article
Galton, F.	1874	English men of science: Nature and nurture	Monograph
Garfinkel, I., & McLanahan, S.	1986	Single mothers and their children: A new American dilemma	Monograph
Gibson, M.	1991	Minorities and schooling: Some implications	Monograph
Gleason, P., & Dynarski, M.	2002	Do we know whom to serve? Issues in using risk factors to identify dropouts	Journal Article
Glewwe, P., Jacoby, H., & King, E.	2001	Early childhood nutrition and academic achievement: A longitudinal analysis	Journal Article
Green, R.	1994	Measuring the benefits of home owning: Effects of children	X
Griffin, B.	2002	Academic disidentification, race and high school dropouts	Journal Article
Grotevant, H., Scarr, S., & Weinberg, R.	1977	Intellectual development in families with adopted and natural children: A test of the Zajonc and Markus Model	Journal Article
Guo, G., & VanWey, L.	1999	Sibship size and intellectual development: Is the relationship causal?	Journal Article
Guo, G., & VanWey, L.	1999	The effects of closely spaced and widely spaced sibship size on intellectual development: Reply to Phillips and to Downey et al.	Journal Article
Guthrie, G., Tayag, A., & Jimenez, J.	1977	The Philippine non-verbal intelligence test	Journal Article
Harding, D.	2003	Counterfactual models of neighborhood effects: The effect of neighborhood poverty on dropping out and teenage pregnancy	Journal Article
Harrell, J., Bangdiwala, S., Webb, J., & Radley, C.	1998	Smoking initiation in youth: The roles of gender, race, socioeconomics, and developmental status	Journal Article
Hauser, R.	1993	Trends in college entry among Whites, Blacks, and Hispanics: 1972-1988. 61-104	Monograph
Hauser, R., & Phang, H.	1993	Trends in high school dropout among White, Black, and Hispanic youth, 1973 to 1989	X
Hauser, R., & Sewell, W.	1985	Birth order and educational attainment in full sibships	Journal Article
Haveman, R., & Wolfe, B.	1994	Succeeding generations: On the effects of investment in children	Monograph
Haveman, R., Wolfe, B., & Spaulding, J.	1991	Childhood events and circumstances influencing high school completion	Journal Article
Heer, D.	1985	Effects of sibling number on child outcome	Journal Article
Heer, D.	1986	Effect of number order, and spacing of siblings on child and adult outcomes	Journal Article
Herrin, A.	1992	Consequences of population change in the Philippines	X
Higgins, J., Reed, E., & Reed, S.	1982	Intelligence and family size: A paradox resolved	Journal Article
Hill, M., & Duncan, G.	1987	Parental family income and the socioeconomic attainment of children	Journal Article
Hondo, C.	2005	A phenomenological investigation of Hispanic high school dropouts from rural communities in the context of no child left behind	Dissertation	
Hsueh, C.	1992	Sibling resemblance in educational attainment	Dissertation	
Institut National d'Etudes Demographiques	1973	Enquete National sur Ie Niveau Intellectual des Enfants d'Age Scolaire (National Report on the Intellectual Development of School-Age Children)	Monograph
Janosz, M., LeBlanc, M., Boulerice, B., & Tremblay, R.	1997	Disentangling the weight of school dropout predictors: A test on two longitudinal samples	Journal Article
Jencks, C., Smith, M., Acland, H., Bane, M., Cohen, D., Gintis, H., Heyns, B., & Michelson, S.	1972	Inequality: A reassessment of the effect of public schooling in America	Monograph
Jencks, C., Crouse, J., & Meuser, P.	1983	The Wisconsin Model of status attainment: A national replication with improved measures of ability and aspiration	Journal Article
Jensen, A.	1980	Bias in mental testing	Monograph
Jimerson. S., Anderson, O., & Whipple, A.	2002	Winning the battle and losing the war: Examining the relation between grade retention and dropping out of high school	Journal Article
Kagaruki-Kakoti, G.	2005	An economic analysis of school and labor market outcomes for at-risk youth	Dissertation	
Kalmijn, M.	1994	Mother's occupational status and children's schooling	Journal Article
Keister, L.	2001	Sharing the wealth: An exploration of the role of siblings in adult wealth accumulation	X
Kennett, K., & Cropley, A.	1970	Intelligence, family size and socio-economic status	Journal Article
Kidwell, J.	1981	Number of siblings, sibling spacing, sex, and birth order: Their effects on perceived parent-adolescent relationships	Journal Article
King, E., & Lillard, L.	1983	Determinants of schooling attainment and enrollment rates in the Philippines	X
Koch, S., & McGeary, K.	2005	The effect of youth alcohol initiation on high school completion	Journal Article
Kreitzer, A., Madaus, G., & Haney. W.	1989	Competency testing and dropouts	Monograph
Kuo, H., & Hauser, R.	1997	How does size of sibship matter? Family configuration and family effects on educational attainment	Journal Article
Lecha, M.	2005	The causes and extent of school dropout in Botswana public senior secondary schools	Dissertation	
Lee, V., & Burkam, D.	2003	Dropping out of high school: The role of school organization and structure	Journal Article
Mahoney, J., & Cairns, B.	1997	Do extracurricular activities protect against early school dropout?	Journal Article
Mare, R.D.	1980	"Social Background and School Continuation Decisions." 	Journal Article
Marjoribanks, K.	1974	Academic achievement: Family size and social class correlates	Monograph
Marjoribanks, K.	1991	The resource dilution theory: An analysis	Journal Article
McCall, H.	2003	When successful alternative students 'disengage' from regular school	Journal Article
McLanahan, S.	2000	Family, state, and child wellbeing	Journal Article
McLanahan, S., & Sandefur, G.	1994	Growing up with a single parent: What hurts, what helps	Monograph
McNeal, R. Jr.	1997	Are students being pulled out of high school?	Journal Article
McNeal, R. Jr.	1997	High school dropouts: A closer examination of school effects	Journal Article
Menzel, L.	2004	Cultural influences on school completion in a rural multicultural school district	Dissertation	
Mercy, J., & Steelman, L.	1982	Familial influences on the intellectual attainment of children	Journal Article
Mobley, W.	2005	Case study of successful high school dropouts	Dissertation	
Morse, A., Anderson, A., Christenson, S., & Lehr, C.	2004	Promoting school completion	Journal Article
National Center for Educational Statistics	2000	Dropout rates in the United States 1998	Monograph
National Economic Development Authority	2004	Medium-term Philippine development plan, 2004-2010	Monograph
Olneck, M., & Bills, D.	1979	Family configuration and achievement: Effects of birth order and family size in a sample of brothers	Journal Article
Page, E., & Grandon, G.	1979	Family configuration and mental ability: Two theories contrasted with U.S. Data	Journal Article
Parcel, T., & Menaghan, E.	1994	Parents' jobs and children's lives	Monograph
Paqueo, V.	1985	An econometric analysis of educational attainment among elementary school age children: Preliminary results	X
Parker, B.	2005	The impact of gender and ethnicity on factors affecting academic achievement	Dissertation	
Phillips, M.	1999	Sibship size and academic achievement: What we now know and what we still need to know	Journal Article
Pittman, R., & Haughwout, P.	1987	Influence of high school size and dropout rate	Journal Article
Plomin, R., & Defries, J.	1980	Genetics and intelligence: Recent data	Journal Article
Powell, B., & Steelman, L.	1990	Beyond sibship size: Sibling density, sex composition, and educational outcomes	Journal Article
Powell, B., & Steelman, L.	1993	The educational benefits of being spaced out: Sibship density and educational progress	Journal Article
Powell, B., & Steelman, L.	1995	Feeling the pinch: Child-spacing and constraints on parental economic investments in children	Journal Article
Powell, B., & Steelman, L. & Carini, B.	1999	Advancing age advancing youth: Parental age and the flow of resources to progeny	X
Raley, R.	1991	The effects of family composition on educational attainment	Monograph
Randolph, K., Rose, R., Fraser, M., & Orthner, D.	2004	Examining the impact of changes in maternal employment and high school completion among low-income youth	Journal Article
Retherford, R., & Sewell, W.	1991	Birth order and intelligence: Further tests of the Confluence Model	Journal Article
Reynolds, A.	1992	Grade retention and school adjustment: An exploratory analysis	Journal Article
Roderick, M.	1994	Grade retention and school dropout: Investigating the association	Journal Article
Rodgers, J.	1984	Confluence effects: Not here, not now!	Journal Article
Rodgers, J.	2001	What causes birth order-intelligence patterns	Journal Article
Rodgers, J., Cleveland, H., van den Oord, E., & Rowe, D.	2000	Resolving the debate over birth order, family size, and intelligence	Journal Article
Rosenbaum, J.	1995	Changing the geography of opportunity by expanding residential choice: Lessons from the Gatreaux Program	Journal Article
Rosenbaum, J., Fishman, N., Brett, A., & Meaden, P.	1993	Can the Kerner Commission's housing strategy improve employment, education, and social Iintegration for low-income Blacks?	Journal Article
Rosenbaum, J., & Popkin, S.	1991	Employment and earnings of low-income Blacks who move to middle class suburbs	Monograph
Rubinowitz, L., Rosenbaum, J.	2000	Crossing the class and color lines: From public housing to white suburbia	Monograph
Rumberger, R.	1987	High school dropouts: A review of issues and evidence	Journal Article
Rumberger, R.	1995	Dropping out of middle school: A multilevel analysis of students and schools	Journal Article
Saunders, J., Davis, L., Williams, T., & Herbert, J.	2004	Gender differences in self-perceptions and academic outcomes: A study of African American high school students	Journal Article
Scanlon, D., & Mellard, D.	2002	Academic and participation profiles of school-age dropouts with and without disabilities	Journal Article
Scarr, S., & Weinberg, R.	1979	Intellectual similarities in adoptive and biologically related families of adolescents. Unpublished manuscript	Monograph
Schoenhals, M., Tienda, M., & Schneider, B.	1998	Educational consequences of adolescent employment	Journal Article
Scottish Council for Research in Education, Mental Survey Committee	1949	The trend of scottish intelligence: A comparison of the 1947 and 1932 surveys of the intelligence of eleven-year-old pupils	Monograph
Seaman, D., & Yoo, C.	2001	The potential for even start family literacy programs to reduce school dropouts	Journal Article
Seltzer, J.	1994	Consequences of marital dissolution for children	Journal Article
Sewell, W., & Hauser, R.	1975	Education, occupation and earnings: Achievement in the early career	Monograph
Sewell, W., Hauser, R., & Wolf, W.	1980	Sex, schooling and occupational status	Journal Article
Shavit, Y., & J.L. Pierce, J.	1991	Sibship size and educational attainment in nuclear and extended families	Journal Article
Smock, P.	2000	Cohabitation in the United States: An appraisal of research themes, findings, and implications	Journal Article
Somers, C.,& Piliawsky, M.	2004	Dropout prevention among urban, African American adolescents: Program evaluation and practical implications	Journal Article
Steelman, L.	1985	A tale of two variables: A review of the intellectual consequences of sibship size and birth order	Journal Article
Steelman, L., & Mercy, J.	1980	Unconfounding the Confluence Model: A test of sibship size and birth order effects on intelligence	Journal Article
Steelman, L., & Powell, B.	1989	Acquiring capital for college: The constraints of family configuration	Journal Article
Steelman, L., & Powell, B.	1991	Sponsoring the next generation: Parental willingness to pay for higher education	Journal Article
Steelman, L., & Powell, B, Werun, R., & Carter, S.	2002	Reconsidering the effects of sibling configuration: Recent advances and challenges	Journal Article
Steinberg, L., Blinds, P., & Chan, K.	1984	Dropping out among language minority youth	Journal Article
Tabachnick, B., & Fidell, L.	2001	Using multivariate statistics	Monograph
Taubman, P., & Behrman, J.	1986	Effects of number and position of siblings and adult outcomes	Journal Article
Teachman, J.	1987	Family background, educational resources, and educational attainment	Journal Article
The National Committee on Education For All, Philippines	1999	Philippines: Education for all (EFA) 2000	Report
Thornberry, T., Krohn, M., Lizotte, A., Smith, C., & Tobin, K.	2003	Gangs and delinquency in developmental perspective	Monograph
Tidwell, T.	1988	Dropouts speak out: Qualitative data on early school departures	Journal Article
Tienda, M., & A. Ahituv, A.	1996	Ethnic differences in school departure: Does youth employment promote or undermine educational achievement?	Journal Article
Valenzuela, A., & Dornbusch, S.	1994	Familism and social capital in the academic achievement of Mexican origin and Anglo adolescents	Journal Article
Wehlage, G., & Rutter, R.	1986	Dropping out: How much do schools contribute to the problem	Journal Article
Weis, L., Farrar, E., & Petrie, H.	1989	Dropouts from school	Monograph
Weiss, R.	1979	Growing up a little faster: The experience of growing up in a single parenthousehold	Journal Article
Williams, J., Dunlop, L.	1999	Pubertal timing and self-reported delinquency among male adolescents	Journal Article
World Bank	1999	Confronting AIDS: Public priorities in a global epidemic	Monograph
Yamano. T., & Jayne, T.	2005	Working-age adult mortality and primary school attendance in rural Kenya	Journal Article
Zajonc, R.	1976	Family configuration and intelligence	Journal Article
Zajonc, R.	2001	The family dynamics of intellectual development	Journal Article
Zajonc, R., & Markus, G.	1975	Birth order and intellectual development	Journal Article
Zosa, A., Zosa, V., Gultiano, S., &  Cusi, D.	2004	Cebu: A demographic and socioeconomic profile based on the 2000 Census	Monograph
Agresti, A., & Finlay, B.	1997	Statistical methods for the social sciences.	Monograph
Ahmad, O., Lopez, A., & Inoue.	2000	The decline in child mortality: A reappraisal.	Journal Article
Alvarez G.	1986	Socio-economic correlates of mortality in the Philippines Socio-Economic Correlates of Mortality in Japan and Asean Countries.	Monograph
Becker, S., & Black R.	1996	A model of child morbidity, mortality, and health interventions.	Journal Article
Black, R.	1984	Diarrheal diseases and child morbidity and mortality.	Journal Article
Cabigon, J.	2002	Revisiting the 'best' covariates of infant and child mortality.	Paper
Cabigon, J.	1990	Philippine mortality in changing times.	Thesis
Cabigon, J., Park C., & Kantner, A.	1994	Measuring the effects of child death and lactation on subsequent fertility in the Philippines: An application of the hazard model.	Journal Article
Caldwell, J.	X	Routes to low mortality in poor countries.	Journal Article
Caldwell, J.	1979	Education as a factor in mortality decline: an examination of Nigerian data.	Journal Article
Caldwell, J., & McDonald, P.	1981	Influence of maternal education on infant and child mortality: Levels and causes.	X
CDC on Vaccines and Children's Health	1999	WHO in health and economic productivity.	Journal Article
Costello, M.	X	Infant and childhood mortality research in the Philippines: A review and an agenda.	X
Davanzo, J., & Habicht J.	X	What accounts for the decline in infant mortality in peninsular Malaysia, 1946-1975?	X
Davanzo, J.	1988	Infant mortality and socioeconomic development: Evidence from Malaysian household data.	Journal Article
De Sweemer, C.	1984	The influence of child spacing on child survival.	Journal Article
De Guzman, E.	1984	The effects of infant mortality on fertility in the Philippines.	Monograph
Devlieger, H., Martens, G., & Bekaert, A.	2005	Social inequalities in perinatal and infant mortality in northern region of Belgium.	Journal Article
Ewbank, D., & Gribble, J.	1993	Effects of health programs on child mortality in Sub-Saharan Africa.	X
Farren, M.	1984	Child mortality and health in Latin America: An annotated bibliography from the 1972-1982 literature.	Monograph
Foster, S.	1984	Immunizable and respiratory diseases and child mortality.	Journal Article
Gultiano, S.	1992	Child mortality in Metro Cebu: 1988-1990.	Journal Article
Hanmer, L., & White	2003	Infant and child mortality in developing countries: Analysing the data for robust determinants.	Journal Article
Hill, K.	2003	Frameworks for studying the determinants of child survival.	Journal Article
Hill, K., & Pebley, A.	1989	Child mortality in the developing world.	Journal Article
Hobcraft, J., McDonald J., & Rutstein S.	1983	Child spacing effects on infant and early child mortality.	Journal Article
Huffman, S., & Lamphere B.	1984	Breastfeeding performance and child survival.	Journal Article
Koenig, M., Phillips J., Campbell, O., & Souza, S.	1990	Birth intervals and childhood mortality in rural Bangladesh.	Journal Article
Kunitz, S.	1987	Explanations and ideologies of mortality patterns.	Journal Article
Legrand, T., & Phillips, J.	1996	The effect of fertility reductions on infant and child mortality: evidence from Matlab in rural Bangladesh.	Journal Article
Machado, C., & Hill K.	2005	Maternal, neonatal and community factors influencing neonatal mortality in Brazil.	Journal Article
Madise, N., Banda, E., & Benaya, K.	2003	Infant mortality in Zambia: Socioeconomic and demographic correlates.	Journal Article
Martin L.	1983	Covariates of child mortality in the Philippines, Indonesia and Pakistan: An analysis based on Hazard Models.	Journal Article
MIMAP Project Updates	1994	Infant deaths decreasing in recent years.	X
Mosley, W., & Chen, L.	1984	An analytical framework for the study of child survival in developing countries.	Journal Article
Mosley, W.	1984	Child survival: Research and policy.	Journal Article
National Statistics Office, United States Agency for International Development, & ORC Macro	2004	Philippines National Demographic Health Survey 2003.	Survey
Norusis, M.	1994	SPSS Advanced Statistics 6.1.	Monograph
Oloo, J.	2005	Child mortality in developing countries: Challenges and policy options.	Journal Article
Palloni, A.	1986	Effects of breastfeeding and pace of childbearing on mortality.	Monograph
Park, C., Cabigon, J., Zafra, J., Kantner, A., & Jose M.	1993	The determinants of infant and child survival in the Philippines.	X
Reid, A.	2001	Neonatal mortality and stillbirths in early twentieth century Derbyshire, England.	Journal Article
Sastry N.	2004	Trends in socioeconomic inequalities in mortality in developing countries: The case of child survival in Sao Paulo, Brazil.	Journal Article
Stroobant, G.	X	Theories and frameworks for the study of child mortality.	X
Retherford, R., & Choe, M.	1993	1993 Statistical models for causal analysis.	Monograph
Retherford R., Choe, M., Thapa, S., & Gubhaju, B.	1989	To what extent does breastfeeding explain birth-interval effects on early childhood mortality?	Journal Article
Ruzicka, L.	X	Problems and issues in the study of mortality differentials.	Monograph
Sawyer, D.	1986	Infant and child mortality and morbidity: Reflections on theoretical and methodological issues.	Proceedings
Shryock, H., & Siegel, J.	1976	The methods and materials of demography.	Monograph
Schultz, P.	1984	Studying the impact of household economic and community variables on child mortality.	Journal Article
Taucher, E.	1988	Effects of decreasing fertility on infant mortality levels. Infant Mortality and Health Studies.	Monograph
The United Nations Children's Fund	2003	UNICEF's conceptual framework.	X
Venkatacharya, K., & Teklu, T.	1986	Conceptual framework for the study of child health and child care.	Proceedings
Ware, H.	1984	Effects of maternal education, women's roles, and child care on child mortality.	Journal Article
West, S.	X	Infant mortality in the Philippines: causes and correlates.	X
