Author	Year	Title	Publication Type
Kusiako, T., Carine, R., & van der Paal, L.	2000	Perinatal mortality attributable to complications of childbirth in Matlab, Bangladesh	X
Lawn, J. E., Cousens, S., & Zupan, J.	2005	4 million neonatal deaths: When? Where? Why?	Online
Locay, S., & Weeks	X	Better health for women: Research results from the maternal Nutrition and Child Health Care (MNHC) Program	Monograph
Loudon, I.	1991	On maternal and infant mortality	Journal Article
Lule, E., Ramana, G. N., Ooman, N., Epp, J., Huntington, D., & Rosen, J. E.	2005	Achieving the millennium development goal of improving maternal health: Determinants, interventions and challenges	X
Mahler, H.	1985	A Speech Delivered on April 1985	X
Maine, D.	1993	Safe motherhood program: Issues and strategies	X
Maine, D., & Chavkin, W.	2002	Maternal mortality: Global similarities and differences	X
Maine, D., & Rosenfield, A.	1991	Why has safe motherhood stalled?	X
Maine, D., & Rosenfield, A.	1999	The safe motherhood initiative: Why has it stalled?	Journal Article
McCarthy, J., & Maine, D.	1992	A framework for analyzing the determinants of maternal mortality	Monograph
McDonald, M.	1995	Women in development: Vietnam	X
Monjaraz, C.	1999	A study of the relationship of early prenatal care to birth weight: Does first trimester care make difference?	Online
Myer, L., & Harrison, A.	2003	Why do women seek antenatal care late? Perspectives from rural South Africa	Monograph
National Statistics Office, Department of Health, & Macro International Inc.	1998	National Demographic and Health Survey 1998	Survey
National Statistics Office, & ORC Macro	2004	National Demographic and Health Survey 2003	Survey
National Statistics Office, & Macro International Inc.	1993	National Safe Motherhood Survey 1993	Survey
National Statistics Office	2001	2000 maternal and child health survey, final report	Report
Navaneetham, K., & Dharmalingam, A.	2000	Utilization of maternal health care services in South India	Monograph
Ngom, P., et. al.	2000	Intra-household decision-making on health and resource allocation in the Borgou, Bénin: Final report	Report
Okafor, C. B., & Rahna, R. K.	1994	Women's and health care providers' views on maternal practices and services in rural Nigeria	X
Oxaal, Z., & Baden, S.	1996	Challenges to women's reproductive health: Maternal mortality	Report
Papiernik, E.	1995	The role of emergency obstetric care in preventing maternal deaths: A historical perspective on European figures since 1751	Journal Article
Parker, L. N., Gupta, G. R., Kurz, K. M., & Merchant, K. M.	1990	Better health for women: Research results from the maternal nutrition and health care program	Research
Perez, A. Y. Jr.	1968	A study on the maternal health services of the rural health unit in Salcedo, Eastern Samar, Philippines	Thesis
Perez, A. Y., et. al.	1997	Clandestine abortion: A Philippine reality. New York: Alan Guttmacher Institue and University of the Philippines Population Institute	X
Perez, A. Y., et. al.	1992	Reproductive health risks of women and fertility  decision-making in the Philippines Project Focus Group Discussion conducted in selected barangays in Nueva Ecija and Metro Manila in September 1992	Monograph
Population Commision	2002	The state of the Philippine population report 2002	Online
Population Reports	X	Incidence of maternal seaths and illnesses. Population Information Program	X
Prual, A. et. al.	2000	Severe maternal morbidity from direct obstetric causes in West Africa: Incidence and case fatality rates	Online
Pulley, L. et. al.	2002	The extent of pregnancy mistiming and its association with maternal charactedstics and behaviors and pregnancy outcomes	Journal Article
Rani, M., Sekhar, B.	2003	Rural Indian women's care-seeking behavior and choice of provider for gynecological symptoms	Journal Article
Recidero, Z.	2006	The UN process indicators and women's health and safe motherhood project 2	X
Reed, H. A., Koblinsky, M. A., & Mosley, H. M.	2000	The consequences of maternal morbidity and maternal mortality: Report of a workshop	Report
Sable, M. R., & Wilkinson, D. S.	1998	Pregnancy intentions, pregnancy attitudes, and the use of prenatal care in Missouri	Journal
Safe Motherhood Fact Sheet	1998	The safe motherhood initiative. Family Care Inteniational	Online
Safe Motherhood	2002	The safe motherhood initiative	Online
Sahagun, G.	1987	Hospital maternal deaths: Causes and implications	Proceeding
Sanders-Philippines, & Davis, S.	1998	Improving prenatal care services for low income African American women and infants	Journal Article
Santelli, J., Rochat, R., Hatfield-Timajchy, K., Gilbert, C., K. Curtis, K., Cabral, R., Hirsch, J. S., Schieve, L., et. al.	2003	The measurement and meaning of unintended pregnancy	Journal Article
Santos-Acuin, C., Javellan, J., Balis, A. C., Barzaga, D., Jensen, E., & Jose-Chabot, M.	1994	The role of traditional health practitioners in the delivery of health care - a secondary analysis of NDS-SMS 1993 Data	Journal Article
Shiffman, I.	2000	Can poor countries surmount high maternal mortality?	Journal Article
Sloan, N. L., Winikoff, B., & Fikree, F. F.	2001	An ecological analysis of maternal mortality ratios	Journal Article
Singh, S., Juarez, F., Cabigon, J. V., Ball, H., Hussain, R., & Nadeau, J.	X	Unintended pregnancy and induced abortion in the Philippines: Causes and consequences	Monograph
Singh, S., Cabigon, J. V., Hossain, A., Kamal, H., & Perez, A. E.	1997	Estimating the level of abortion in the Philippines and Bangladesh	Journal Article
Stewart, M. K., Stanton, C. K., Festin, M., & Jacobson, N.	1996	Issues in measuring maternal morbidity: Lessons from the Philippines Safe Motherhood Survey Project	Journal Article
Tadiar, F. M.	1993	The Filipino women's access to utilization of health services for reproductive care, Discussion Paper No. 93-01	X
Tan, M. L.	1992	Traditional medical practitioners in the Philippines	Journal Article
Thaddeus, S., & Maine, D.	1990	Too far to walk: Maternal mortality in context	X
Tinker, A., & Ransom, E.	2002	Healthy mothers and healthy newborns: A vital link	X
UNICEF, WHO, & UNFPA	1997	Guidelines for monitoring the availability and use of obstetric services	Monograph
UNFPA	2OO4	Fast facts about maternal health and newborn survival	Online
United Nation Millennium Task Force on Child Health and Maternal Health	2005	Who's got the power	Report	
Villaroman-Bautista, R.	X	Better health for women: Research results from the maternal nutrition and Child Health care (MNHC) Program	Research
Walraven, G., & Weeks, A.	1999	The role of (traditional) birth attendants with midwifery skills in the reduction of maternal mortality	Journal Article
Westley, S. B., & Kantner, A.	1996	Who uses reproductive health services in the Philippines (and who doesn't?)	Monograph
WHO	1997	Risk assessment	X
World Bank	X	Making motherhood safer	Online
World Bank	1993	World development report 1993	Monograph
World Bank	1999	Safe motherhood and the World Bank - Lessons from 10 Years of Experience. Human Development Network	Monograph
World Health Organization	1991	Essential obstetric functions at the first referral level	Monograph
World Health Organization	1994	Causes of maternal deaths	Journal Article
World Health Organization	1997	Coverage of maternity care: A listing of available information	Monograph
World Health Organization	1998	Postpartum care of the mother and newborn: A practical guide	Online
World Health Organization	1998	Antenatal care	Online
World Health Organization	1998	Reducing mortality from major killers of children	Online
World Health Organization	2000	Essential obstetric car	X
World Health Organization	2005	World health report 2005	Report
