Author	Year	Title	Publication Type
Feeney, G.	1983	Population dynamics based on birth intervals and parity progression.	Monograph
Feeney, G.	1975	The own-children method of estimating age-specific fertility rates. Demographic Analysis and Data Evaluation Workshop.	Monograph
Herein, A.	1979	Rural electrification and fertility change in the Southern Philippines.	Journal Article
Hinds, A.	1998	Demographic methods.	Monograph
Islam, N., & Islam, M.	1990	Biological and behavioural determinants of fertility in Bagladesh 1975-1989.	Monograph
Jejeebhoy, S.	1995	Women's education, autonomy and reproductive behavior: Experience from developing countries.	Monograph
Kenya Ministry of Health	2004	Kenya Demographic Health Survey.	Survey
Klasen, S., & Launov, A.	2006	Analysis of the determinants of fertility decline in the Czech Republic.	Journal Article
Lloyd, C.	1991	The contribution of the world fertility surveys to an understanding of the relation between women's work and fertility.	Journal Article
Luo, S.	2004	Women's working and timing of second birth in the Philippines.	Monograph
Martin, T.	1995	Women's education and fertility: results from demographic and health surveys.	Journal Article
Mhloyi, M.	1992	African Journals.	Journal Article
Ministry of Education	2004	Education system in Bhutan.	Online
Moultri, T., & Dorrington, R.	2004	Estimation of fertility from the 2001 South Africa Census Data.	Monograph
Moultri, T., & Dorrington, R.	2008	Sources of error and bias in methods of fertility estimation contingent on the P/F ratio in a time of decline fertility and rising mortality.	Journal Article
National Statistics Bureau, Royal Government og Bhutan	2008	Dzongkhag population projections 2006-2015.	Monograph
National Statistics Bureau, Royal Government og Bhutan	2004	Poverty analysis of Bhutan.	Monograph
Nguven-Dinh, Y.	1997	A socioeconomic analysis of the determinants of fertility: the case of Vietnam.	Journal Article
Notestein, F.	1953	Economic problem of population change.	Monograph
Office of the Census Commissioner, Royal Government of Bhutan	2006	Results of population & housing 2005.	Monograph
Ogasawara, S.	1974	Regional fertility differences and their changes in Japan. 1960-1970: the science reports of Tohoku University.	Journal Article
Palmore, J., & Gardner, R.	1994	Measuring mortality, fertility and natural increase.	Monograph
Palmore, J., Sarmento, E., & Gultiano, S.	1971	Fertility estimates for the Philippines, 1970 and 1980, by prftuince and urban-rural residence.	Monograph
Peng, T.	2002	Social, economic and ethnic fertility differentials in Peninsular Malaysia. Asia's population in a changing Asian context.	Monograph
Perez, A.	1994	Fertility in the Philippines: what the 1993 National Demographic Survey says.	Survey
Planning Commission, Royal Government of Bhutan	2006	Guidelines for preparation the Tenth Plan (2007-2012).	Monograph
Rosenzweig, M.	1977	Female work experience status, employment status, and  birth expectations: sequential decision making in the Philippines.	Journal Article
Razzaque, A., Islam, M., & Alam, N.	1998	Contraception among limiters and spacers in Matlab, Bangladesh.	Journal Article
Schertmann, C.	2002	A simple method for estimating age specific rates from sequential cross section.	Journal Article
Schertmann, C.	1999	Fertility estimation from open birth-interval data.	Journal Article
Schoen, R.	2004	Timing effects and the interpretation for period fertility.	Journal Article
Sen, A.	1999	Development as freedom.	Monograph
Shryock, H., & Siegel, J.	1976	The methods and materials of demography.	Monograph
The Department of Family and Community Health, World Health Organization	X	WHO, Regional Office of South East Asia.	Online 
Tripathy, P., & Sarangi, K.	2004	Proximate determinants of fertility in India.	Journal Article
Udjo, E.	1996	Is fertility falling in Zimbabwe?	Journal Article
United Nations	1983	Manual X: indirect techniques for demographic estimations.	Monograph
United Nations	2009	UN data.	Monograph
United Nations	X	World population prospects: The 2008 revision.	Online
US Department of Commerce	1985	Evaluating censuses of population and housing.	Monograph
Yusuf, F., & Retherford, R.	1981	Urban-rural fetility differentials in Pakistan.	Journal Article
Weeks, J.	1992	Population: an introduction to concepts and issues.	Monograph
