Author	Year	Title	Publication Type
Cornwall, B., Laumann, E., & Schumer, L.	2008	The social connectedness ofolder adults: a national profile.	Journal Article
Creber, A.	2002	Aging and spirituality: spiritual dimensions of aging theory, research, practice.	Journal Article
Cruz, G., & Laguna, E.	2009	Overseas labor migration and well-being of older Filipinos.	Monograph
Cruz, G., & Lavares, M.	2009	The state of aging studies in the Philippines.	Monograph
Cruz, G.	2008	Aging in the Philippines.	Paper
Daatland, S.	2005	Quality of life and ageing. In M. lohnson (Ed.), The Cambridge handbook of age and ageing.	Monograph
De Mesa, J.	1992	Becoming a Filipino Christian.	Monograph
Dupertuis, L., Aidwin, C., & Bosse, R.	2001	Does the source of support matter for different health outcomes? Findings from the Normative Aging Study.	Journal Article
Durkheim, E.	1965	The elementary forms of religious life.	Monograph
Durkheim, E.	1966	Suicide: A study in sociology.	Monograph
Ellison, C., Gay, D., & Glass, T.	1989	Does religious commitment contribute to individual life satisfaction?	Journal Article
Ellison, C., & Levin, J.	1998	The religion-health connection: evidence, theory and future directions.	Journal Article
Ellison, C., & Sherkat, D.	1995	Is sociology the core discipline for the scientific study of religion?	Journal Article
Ferraro, K.	2006	Health and aging. Handbook of aging and the social sciences (6th Ed).	Monograph
Fetzer Institute and National Institute on Aging Working Group	1999	Multidimensional measurement of religiousness, spirituality for use in health research.	Report
Field, A.	2005	Discovering statistics using SPSS (2nd ed.).	Monograph
Fry, P.	2000	Religious involvement, spirituality and personal meaning for life: Existential predictors of psychological wellbeing in community-residing and institutional care elders.	Journal Article
Glaser, B., & Strauss, A.	1967	The discovery ofgrounded theory: Strategies for qualitative research.	Monograph
Gorospe, V. 	1994	Understanding the Filipino value system.	Monograph 
Gripaldo, R.	2005	Filipino cultural traits: Claro R. Ceniza lectures.	Monograph 
Gwozdz, W., & Sousa-Poza, A.	2009	Ageing, health and life satisfaction of the oldest old: An analysis for Germany.	Discussion Paper
Haley, K., Koenig, H., & Bruchett, B.	2001	Relationship between private religious activity and physical functioning in older adults.	Journal Article
Hank, K., & Schaan, B.	2008	Cross-national variations in the correlation between frequency of prayer and health among older Europeans.	Journal Article
Hennink, M.	2007	International focus group research: A handbook for the health and social sciences.	Monograph
Hermann, A.	2002	The well-being of the elderly in Asia: A foul-country comparative study.	Monograph
Hornedo, F.	2001	The favor of the gods: Essays in Filipino religious thought and behavior.	Monograph
Hummer, R., Ellison, C, Rogers, R, Moulton, B., & Romero, R.	1997	Religious involvement and adult mortality in the United States: Review and perspective.	Journal Article
Idler, E.	1995	Religion, health, and non-physical senses of self.	Journal Article
Idler, E.	2006	Religion and aging.	Monograph
Idler, E. & Horvitz, A.	2005	The sociology of aging and the sociology of religion.	Paper
Idler, E., & Kasl, S.	1992	Religion, disability, depression, and the timing of death. American Journal of Sociology, 97(4), 1052-79.
Idler, E., Musick, M., Ellison, C., George, L., Krause, N., Ory, M., et al.	2003	Measuring multiple dimensions of religion and spirituality for health research: Conceptual background and findings from the 1998 General Social Survey.	Journal Article
Jagodzinski, W.	2010	Economic, social, and cultural determinants of life satisfaction: are there differences between Asia and Europe?	Journal Article
Jocano, F.	1981	Folk Christianity: a preliminary study of conversion and patterning of Christian experience in the Philippines.	Monograph
Kelley-Moore, J., & Ferraro, K.	2001	Functional limitations and religious service attendance in later life: Barrier and/or benefit mechanism?	Journal Article 
Kim, A.	2003	Religious influences on personal and societal well-being.	Journal Article
King, J., & Crowthe, M.	2004	The measurement of religiosity and spirituality: Examples and issues from psychology.	Journal Article
Koenig, H.	1994	Aging and God: spiritual pathways to mental health in rnidlife and later years.	Monograph
Koenig, H.	2000	Religion and medicine I: Historical background and reasons for separation.	Journal Article
Koenig, H.	2001	Religion and medicine II: Religion, mental health, and related behaviors.	Journal Article 
Koenig, H.	2001	Religion and medicine III: Developing a theoretical model.	Journal Article
Koenig, H.	2001	Religion and medicine IV: Religion, physical health, and clinical implications.	Journal Article
Koenig, H.	2009	Research on religion, spirituality, and mental health: A review.	Journal Article Canadian
Koenig, H., McCullough, M., & Larson, D.	2001	Handbook of religion and health.	Monograph
Krause, N.	1991	Stressful events and life satisfaction among elderly men and women.	Journal Article 
Krause, N.	1997	Religion, aging and health: current status and future prospects.	Journal Article
Krause, N.	1998	Neighborhood deterioration, religious coping, and changes in health during later life.	Journal Article
Krause, N.	2002	Church-based social support and health in old age: exploring variations by race.	Journal Article
Krause, N.	2003	Religious meaning and subjective well-being in late life.	Journal Article
Krause, N.	2005	God-mediated control and psychological well-being in late life.	Journal Article 
Krause, N.	2008	The social foundation of religious meaning in life.	Journal Article
Krause, N., Ingersoll-Dayton, B., Liang, J., & Sugisawa, H.	1999	Religion, social support, and health among the Japanese elderly.	Journal Article 
Krause, N., & Wulff, K.	2004	Religious doubt and health: Exploring the potential dark side of religion.	Journal Article
Kunkel, D.	1981	Age and the correlates of life satisfaction: are the elderly different?	Thesis 
Lavric, M., & Flere, S.	2008	The role of culture in the relationship between religiosity and psychological well-being.	Journal Article
Lelkes, O.	2008	Happiness over the life cycle: Exploring age-specific preferences.	Paper
Levin, J., Chatters, L., & Taylor, R.	1995	Religious effects on health status and life satisfaction among black Americans.	Journal Article
Levin, J., Markides, K., & Ray, L.	1996	Religious attendance & psychological well-being in Mexican-Americans.	Journal Article
Levin, I., & Taylor, T.	1997	Age differences in patterns and correlates of the frequency of prayer.	Journal Article
Lewin, F.	2001	Gerotranscendence and different cultural settings.	Journal Article
Licuanan, P.	1994	A moral recovery program: building a people-building a nation.	Monograph
Loewenthal, K., MacLeod, A., & Cinnirella, M.	2001	Are women more religious than men? Gender differences in religious activity among different religious groups in the U.K.	Online
Lynch, F.	1979	Folk Catholicism in the Philippines.	Monograph
Mackenzie, E., Rajagopal, D., Meilbohm, M., & Mourey, R.	2000	Spiritual support and psychological well-being: Older adults' perceptions of the religion and health connection.	Journal Article 
Mangahas, M.	2008	Filipinos' exceptional religiosity.	Online
McFadden, S.	1996	Religion and spirituality.	Encyclopedia 
McFadden, S.	1999	Religion, personality and aging.	Journal Article
Menard, S.	2002	Applied logistic regression analysis (2nd ed.).	Monoraph 
Mercado, L.	1975	Elements of Filipino theology.	Monograph 
Merton, R.	1968	Social theory and social structure.	Monograph
Miller, A., & Hoffman, J.	1995	Risk and religion: an explanation ofgender differences in religiosity.	Journal Article
Mindel, C., & Vaughan, C.	1978	A multidimensional approach to religiosity and disengagement.	Journal Article
Mirola, W.	1999	A refuge for some: Gender differences in the relationship between religious involvement and depression.	Journal Article
Moberg, D.	2004	Spirituality and religion in whole person gerontology.	Journal Article
Moren-Cross, J., & Lin, N.	2006	Social networks and health.	Monograph
Musick, M.	1996	Religion and subjective health among black and white elders.	Journal Article
Musick, M.	2000	Theodicy and life satisfaction among black and white Americans.	Journal Article 
Musick, M., Traphagan, J., Koenig, H., & Larson, B.	2000	Spirituality in physical health and aging.	Journal Article
National Economic and Development Authority	2008	The shrinking Filipino middle class.	Monograph
National Statistical Coordination Board	2011	2009 Official poverty Statistics.	Online
National Statistics Office	1997	1995 Census-based National and Regional Population Projections.	Monograph
Natividad, J., & Cruz, G.	1997	Patterns in living arrangements and familial support for the elderly in the Philippines.	Journal Article
Norton, M., et al.	2006	Gender differences in the association between religious involvement and depression: the Cache County (Utah) Study.	Journal Article
Okulicz-Kozaryn, A.	2010	Religiosity and life satisfaction across nations.	Journal Article
Onken, O.	1999	Gerontology and the study of religion and health: a vital rolefor a social science melting pot.	Online
Park, H., Murgatroyd, W., Ray rock, D., & Spillett, M.	1998	Relationship between intrinsic-extrinsic religious orientation and depressive symptoms in Korean Americans.	Journal Article
Patton, M.	2002	Qualitative research and evaluation methods (3rd ed.).	Monograph
Peacock, I., & Poloma, M.	1999	Religiosity and life satisfaction across the life course.	Journal Article
Perez, A.	1996	Intergenerational support. In The Filipino elderly: Findings from the 1996 Philippine Elderly Survey.	Monograph
Pincharoen, S., & Congdon, G.	2003	Spirituality and health in older Thai persons in the United States.	Journal Article
Ramirez, A., Lumadue, C., & Wooten, R.	2007	Spiritual well-being and psychological well-being in Mexican-American Catholics.	Journal Article
Reyes-Ortiz C. Pelaez M. Koenig H. & Mulligan, T.	2007	Religiosity and slef-rated health among Latin American and Caribbean Elders.	Journal Article
Reyes-Ortiz, C., Berges, I., Raji, M., Koenig, H., Kuo, Y., & Markides, K.	2008	Church attendance mediates the association between depressive symptoms and cognitive functioning among older Mexican Americans.	Journal Article 
Rule, S.	2007	Religiosity and quality of life in South Africa.	Journal Article
Sliyani, R., & Yadev, S.	2006	Indices of well-being of older adults: A study amongst institutionalized and non-institutionalized elderly.	Journal Article
Silverstein, M., Cong, Z., & Li, S.	2006	Intergenerational transfers and living arrangements of older people in rural China: consequences for psychological well-being.	Journal Article
Sirgy, M., Michalos, A., Ferriss, A., Easterlin, R., Patrick, D., & Pavot, W.	2006	The Quality-Of-Life (QOL) Research Movement: Past, Present, and Future.	Journal Article
Snoep, L.	2008	Religiousness and happiness in three nations: a research note.	Journal Article
Sook-Hee, C.	2008	Are Koreans satisfied with life?	Journal Article 
Sparks, M., Zehr, D., & Painter, B.	2004	Predictors of life satisfaction: perceptions folder community-dwelling adults.	Journal Article
Strawbridge, W., et al.	1997	Frequent attendance at religious services and mortality over 28 years.	Journal Article
Strawbridge, W., Schema, S., Cohen, R., Roberts, R., & Kaplan, G.	1998	Religiosity buffers effects of some stressors on depression but exacerbates others.	Journal Article
Strine, T., Chapman, D., Balluz, L., Moriarty, D., & Mokdad, A.	2008	The associations between life satisfaction and health related quality of life, chronic illness, and health behaviors among U.S. community-dwelling adults.	Journal Article
Taylor, R., & Chatters, L.	1991	Nonorganizational religious participation anion elderly black adults.	Journal Article
Taylor, R., Mattis, J., & Chatters, L.	1999	Subjective religiosity among African Americans: synthesis of findings from five national samples.	Journal Article
Traphagan, J.	2005	Multidimensional measurement of religiousness/spirituality for use in health research in cross-cultural perspective.	Journal Article
UCLA Academic Technology Services	X	Annotated SPSS output: logistic regression.	X
UCLA: Academic Technology Services, Statistical Consulting Group	X	Online
Westerhof, G., Dittmann-Kohli, F., &Thissen, T.	2001	Beyond life satisfaction: Lay conceptions ofwell-being among middle-aged and elderly adults.	Journal Article
Wink, P., & Dillon, M.	2002	Spiritual development across the adult life course: Findings from a longitudinal study.	Journal Article
Wink, P., Dillon, M., & Larsen, B.	2005	Religion as moderator of the depression-health connection: Findings from a longitudinal study.	Journal Article
Wong, G.	2003	Quality of life of the elderly in Singapore's multi-racial society.	Journal Article
World Health Organization	1997	WHOQOL: Measuring quality of life.	Online
