Author	Year	Title	Publication Type
Natividad, J., & Marquez, M.	2004	Sexual risk behaviors.	Monograph
Nguyen, L.	X	Economic reforms, family formation and the length of the first birth interval in Vietnam.	Online
Ogena, N.	1999	How are the youth changing? The shifting lifestyles of our nation's young, 1970s-1990s.	Journal Article
Ogena, N., Kabamalan, M., & Sasota, R.	2008	Changing patterns and correlates of marriage in the Philippines.	Paper
Oppenheimer, V.	1988	A theory of marriage timing.	Journal Article
Oppenheimer, V.	1994	Women's rising employment and the future of the family in industrial societies.	Journal Article
Oppenheimer, V.	2000	The continuing importance of men's economic position in marriage formation.	Monograph
Oppenheimer, V., Kalmjin, M., & Lim, N.	1997	Men's career development and marriage timing during a period of rising inequality.	Journal Article
Paganini, D., & Rindfuss, R.	1999	The divorce of marriage and childbearing: changing attitudes and behavior in the United States.	Journal Article
Panopio, I., MacDonald, F., & Raymundo, A.	1994	General sociology: focus on the Philippines. (3rd ed.).	Monograph
Raymundo, C.	1984	Nuptiality and fertility in the Philippines.	Monograph
Raymundo, C.	2004	Sexuality and reproductive health of Filipino adolescents.	Journal Article
Retherford, R. & Choe, M.	1993	Statistical models for causal analysis.	Monograph
Rindfuss, R., & St. John, C.	1983	Social determinants of age at first birth.	Journal Article
Rindfuss, R., & Morgan, P.	1983	Marriage, sex and the first birth: the quiet revolution in Asia.	Journal Article
Schoen, R., Landale, N., & Daniels, K.	2007	Family transitions in young adulthood.	Journal Article
Singh, S., & Samara, R.	1996	Early marriage among women in developing countries.	Journal Article
Smith, P.	1975	Changing patterns of nuptiality.	Monograph
Steele, F., Joshi, H., Kallis, C., & Goldstein, H.	2007	Changes in the relationship between the outcomes of cohabiting partnerships and fertility among young British women: evidence from the 1958 and 1970 birth cohort.	Working Paper
Stinner, W.	1975	Modernization, marriage and childbearing: a synthesis of research findings.	Monograph
Stockard, J., Gray, J., O'Brien, R., & Stone, J.	2009	Race differences in cohort effects on non-marital fertility in the United States.	Journal Article
Teachman, J.	1984	Out of sequence: the timing of marriage following a premarital birth.	Journal Article
Tsuya, N.	2001	Nuptiality change in Asia: patterns, causes, and prospects.	Online
Upchurch, D., Lillard, L., & Panis, C.	2002	Nonmarital childbearing: Influences of education, marriage and fertility.	Journal Article
Van de Kaa, D.	1987	Europe's second demographic transition.	Journal Article
Ventura, S., & Bachrach, C.	2000	Nonmarital childbearing in the United states, 1940-99.	Report
Weston, C.	2003	Trends in marriage and early childbearing in developing countries.	Report
Williams, L., Kabamalan, M., & Ogena, N.	2007	Cohabitation in the Philippines: attitudes and behaviors among young women and men.	Journal Article
Willis, R.	1999	A theory of out-of-wedlock childbearing.	Journal Article
Zablan. Z.	1988	Proximate determinants of Philippine fertility: 1983 levels and patterns.	Journal Article
