Author	Year	Title	Publication Type
Perelli-Harris, B., Single-Rushton, W., Kreyenfeld, M., Lappegard, T., Bergharnmer, C., & Keizer, R.	2010	The educational gradient of nonmarital childbearing in Europe: Emergence of a pattern of disadvantage?	Working Paper
Philippine Statistics Authority, & ICE International	2014	Philippines National Demographic and Health Survey 2013.	Monograph
Pogoy, M., Verzosa, R., Coming, N., & Agustin, G.	2014	Lived experiences of early pregnancy among teenagers: A phenomenological study.	Thesis
Raymundo, C., & Cruz, G.	2004	Youth sex and risk behaviors in the Philippines. A report on the 2002 Young Adult Fertility and Sexuality Study (YAFS).	Monograph
Ribar, D., & Wilhelm, M.	1999	The demand for welfare generosity.	Journal Article
Ribar, D.	1999	The socioeconomic consequences of young women's childbearing: reconciling disparate evidence.	Journal Article
Robins, P., & Fronstin, P.	1996	Welfare benefits and birth decision of never-married women.	Journal Article
Roempke-Graefe, D., & Lichter, D.	2008	Marriage patterns among unwed mothers: Before and after PRWORA.	Journal Article
Roosa, M., Tein, J., Reinholtz, C., & Angelini, P. 	1997	The relationship of childhood sexual abuse to teenage pregnancy.	Journal Article
Rosenzweig, M.	1999	Welfare, marital prospects, and nonmarital childbearing.	Journal Article
Rueda-Acosta, P.	2003	Children's rights specifically on legitimation and acknowledgement.	Presentation
Russell, J.	1982	Early teenage pregnancy.	Monograph
Sandfort, J., & Hill, M.	1996	Assisting young, unmarried mothers to become self-sufficient: The effects of different types of early economic support.	Journal Article
Shapiro, D.	1997	Human capital, time allocation, home production & the life cycle.	Online
Sheeran, P., Abraham, C., & Orbell, S.	1999	Psychosocial correlates of heterosexual condom use: A meta-analysis.	Journal Article
Smock, P.	1990	Remarriage patterns of Black and White women: Reassessing the role of educational attainment.	Journal Article
South, S.	1993	Racial and ethnic differences in the desire to marry.	Journal Article
South, S.	1996	Mate availability and the transition to unwed motherhood: A paradox of population structure.	Journal Article
Terry-Humen, E., Marlove, I., & Moore, K.	2001	Births outsie of marriage: Perception vs. reality.	Monograph
Thornberry, T., Smith, C., & Howard, G.	1997	Risk factors for teenage fatherhood.	Journal Article
Tsai, W., Liu, J., & Hockenberry, J.	2010	Do foreign brides crowd out domestic unwed women? A study of nonmarital fertility in Taiwan.	Presentation
United Nations Population Fund	2013	World Population Day 2013: Focuses on adolescent pregnancy.	X
United States Department of Health and Human Services	1995	Report to Congress on out-of-wedlock childbearing.	Monograph
Upchurch, D., Lillard, L., & Panis, C.	2001	The impact of nonmarital childbearing on subsequent marital formation and dissolution.	Monograph
Uy, J. 	2013	Filipino Catholic population expanding, say Church officials.	Online
Van de Kaa, D.	1987	Europe's second demographic transition.	Journal Article
Varga, C., & Zosa-Feranil, I.	2003	Adolescent and youth reproductive health in the Philippines - Status, issues policies, and programs.	X
Ventura, S., Martin, I., Curtain, S., & Mathews, T.	1998	Report of final natality statistics, 1996.	X
World Health Organization	2014	Adolescent pregnancy.	Online
World Health Organization	2015	Adolescent pregnancy.	Online
Wu, L.	1996	Effects of family instability, income, and income instability on the risk of a premarital birth.	Journal Article
Wu, L., Cherlin, A, & Bumpass, L.	1997	 Family structure, early sexual behavior, and premarital births.	Working Paper
Zablan, Z.	1988	Proximate determinants of Philippine fertility: 1983 levels and patterns.	Journal Article
Zavodny, M.	2001	The effect of partners' characteristics on teenage pregnancy and its resolution.	Journal Article
