Author	Year	Title	Publication Type
Gilchrist, L. D., & Schinke, S. P.	1983	Teenage pregnancy and public policy.	Journal Article
Forsyth, C. J. and Palmer, C. E.	1990	Teenage Pregnancy: Health, Moral and Economic Issues.	Journal Article
Handbook of Biological Statistics	n.d.	Cochran-Mantel-Haenszel test for repeated tests of independence.	Online
Harrison, K. A., Rossiter, C. E, Chong, H., et. al.	1985	The influence of maternal age and parity on childbearing with special reference to primigravidae aged 15 years and under.	Journal Article
Heilborn, M. L., Brandaio, E. R., & Cabral, C.D.	2007	Teenage pregnancy and moral panic in Brazil.	Journal Article
Hoffman, S.D.	2006	By the Numbers: The Public Costs of Teen Childbearing.	Online
Hogan, D.P.	1987	Demographic trends in human fertility and parenting across the life span.	Book
Lawlor, D.A. & Shaw, M. (2002). Teenage pregnancy is not a public health problem.	X
X	n.d.	X	Journal Article
Lee, D.	2010	The early socioeconomic effects of teenage childbearing: A propensity score matching approach.	Journal Article
Lotivio, Z. A.	2010	Cohort differences in the sequencing of marriage and birth among women in the Philippines.	Thesis
Marquez, M. P. N.	2014	Batang Ina: Teenage Fertility in the Philippines. University of the Philippines Population Institute.	Presentation
Marquez, M. P. N.	2014	Sexy Time: Sexual Behavior of Pinay Young Adults.	Presentation 
Mazur, L. A.	1997	High stakes: The United States, global population and our common future.	Monograph
Natividad, J. N.	2013	Teenage Pregnancy in the Philippines: Trends Correlates and Data Sources.	Journal Article 
National Statistics Office, & Macro International Inc.	1994	National Demographic Survey 1993.	Survey
National  Statistics Office , Department of Health, & Macro International Inc.	1999	National Demographic Survey 1998.	Survey
National  Statistics Office, & OCR Macro.	2004	National Demographic and Health Survey 2003.	Survey 
National  Statistics Office, & ICF Macro.	2009	National Demographic and Health Survey 2008.	Survey 
Neal. S., Matthews, Z., Frost, M., Fogstad, H., Camacho, A., & Laski, L.	2012	Childbearing in Adolescents Aged 12- 15 Years in Low Resource Countries: A Neglected Issue.	Journal Article
National Statistics Office.	2013	Teenage pregnancy in the Philippines, facts a d figures from the NSO data.	Online
O`Grad, K.	2009	Early Puberty for Girls: The New "Normal" and Why We Need to be Concerned.	Online
Pedroso L. M, & Sasota, R. S.	2010	Risking the future: pregnancy and childbearing in the Philippines.	X 
Perez, A. A., III.	2014	Implications of the NDHS and YAFS Findings.	Presentation
Perez, A. E.	1977	The growth of population.	Monograph
Philippine Country Guide	n. d.	Philippine History.	Online
Philippine Statistics Authority & ICE International	2014	Philippines National Demographic and Health Survey 2013.	Survey
Philippine Statistics Authority	2000	Population Growth Rate.	Online
Punongbayan, J.C.	2014	Cause and Effect of Teenage Pregnancy.	Online
Pugh, M., De Maris, A., Giordano, P. C., & Groat, H. T.	1990	Delinquency as a risk factor in teenage pregnancy.	Journal Article
Remy, L. L., Clay, T., & Oliva, G.	2005	Do we have a linear trend? A beginner's approach to analysis of trends in community health indicators.	Online
Rich-Edwards, J.	2002	Teenage pregnancy is not a public health crisis in the US. It is time we made it one.	Journal Article
SPSS	2012	Introduction to SPSS for Windows (Version 19.0).	Handout
Senderowitz, J., Paxman, J. M.	1985	Adolescent Fertility: Worldwide Concerns.	Journal Article
Scally, G.	2002	Teenage pregnancy is a public health, not a clinical problem.	Journal Article
Smith, S.	2002	Too much too young? In Nepal more a case of too little, too young.	Journal Article
Stuart, E.	2013	A look at teen pregnancy around the world.	Online
Suellentrop, K.	2010	The Costs and Consequences of Teen Childbearing.	Presentation 
United Nations Population Fund	2013	Motherhood in Childhood: Facing the Challenge of Adolescent Pregnancy.	X
United Nations Population Fund	2013	World Population Day2013 Focuses on Adolescent Pregnancy.	Statement
World Health Organization	2010	Trends in Maternal Mortality: 1990 to 2008.	X
World Health Organization	2012	Early marriages, adolescent and young pregnancies.	Report
World Health Organization	2014	Adolescent pregnancy	Fact sheet
